AMBPark-26-05-16_Birds-People-Traffic_GILLE_H8HR+RF2-MONTREAL_spcmic-51cm_Binaural5o_AB;45.5, -73.6;Week 23

Common Name (EN);Scientific Name;Detection Count
Baltimore Oriole;Icterus galbula;38
Canada Goose;Branta canadensis;32
Warbling Vireo;Vireo gilvus;24
Yellow Warbler;Setophaga petechia;23
American Redstart;Setophaga ruticilla;9
Northern Cardinal;Cardinalis cardinalis;8
Ovenbird;Seiurus aurocapilla;2
Red-breasted Nuthatch;Sitta canadensis;1
Blue-headed Vireo;Vireo solitarius;1
Cape May Warbler;Setophaga tigrina;1
Belted Kingfisher;Megaceryle alcyon;1
Common Raven;Corvus corax;1
Spotted Sandpiper;Actitis macularius;1
